
mysql> select * from phrase_attempts;
+------+-----------+---------------------+------------------+
| id   | phrase_id | created_on          | correct          |
+------+-----------+---------------------+------------------+
|   35 |        12 | 2025-02-14 13:17:05 | 0x01             |
|   36 |         1 | 2025-02-14 13:21:00 | 0x01             |
|   37 |         2 | 2025-02-14 13:21:07 | 0x01             |
|   38 |        17 | 2025-02-14 13:24:49 | 0x01             |
|   39 |         7 | 2025-02-14 13:24:52 | 0x01             |
|   40 |         5 | 2025-02-14 13:24:55 | 0x01             |
|   41 |         1 | 2025-02-14 13:24:59 | 0x01             |
|   42 |        10 | 2025-02-14 13:25:18 | 0x01             |
|   43 |         3 | 2025-02-14 13:25:22 | 0x01             |
|   44 |         8 | 2025-02-14 13:27:00 | 0x01             |
|   45 |        17 | 2025-02-14 13:27:02 | 0x01             |
|   46 |        15 | 2025-02-14 13:27:04 | 0x01             |
|   47 |         4 | 2025-02-14 13:27:07 | 0x01             |
|   48 |        10 | 2025-02-14 13:27:11 | 0x01             |
|   49 |         1 | 2025-02-14 13:27:12 | 0x01             |
|   50 |        14 | 2025-02-14 13:29:52 | 0x01             |
|   51 |        18 | 2025-02-14 13:29:54 | 0x01             |
|   52 |         4 | 2025-02-14 13:29:58 | 0x01             |
|   53 |         3 | 2025-02-14 13:30:01 | 0x01             |
| 1844 |       275 | 2025-08-19 13:00:21 | 0x00             |
|   54 |         1 | 2025-02-14 13:30:04 | 0x01             |
|   55 |         6 | 2025-02-14 13:30:07 | 0x01             |
|   56 |        19 | 2025-02-14 13:38:12 | 0x01             |
|   57 |        10 | 2025-02-14 13:38:15 | 0x01             |
|   58 |         4 | 2025-02-14 13:38:19 | 0x01             |
|   59 |         2 | 2025-02-14 13:38:21 | 0x01             |
|   60 |        15 | 2025-02-14 13:38:24 | 0x01             |
|   61 |         8 | 2025-02-14 13:38:28 | 0x01             |
|   62 |        12 | 2025-02-14 13:41:06 | 0x01             |
|   63 |        10 | 2025-02-14 13:41:09 | 0x01             |
|   64 |         2 | 2025-02-14 13:41:15 | 0x01             |
|   65 |         3 | 2025-02-14 13:41:20 | 0x01             |
|   66 |        17 | 2025-02-14 13:41:22 | 0x01             |
|   67 |        14 | 2025-02-14 13:41:27 | 0x01             |
|   68 |         5 | 2025-02-14 13:43:58 | 0x01             |
|   69 |        13 | 2025-02-14 14:04:00 | 0x01             |
|   70 |        17 | 2025-02-14 14:04:02 | 0x01             |
|   71 |         9 | 2025-02-14 14:04:06 | 0x01             |
|   72 |         1 | 2025-02-14 14:04:10 | 0x01             |
|   73 |         7 | 2025-02-14 14:04:15 | 0x01             |
|   74 |        12 | 2025-02-14 14:17:15 | 0x01             |
|   75 |        11 | 2025-02-14 14:17:22 | 0x01             |
|   76 |         5 | 2025-02-14 14:17:26 | 0x01             |
|   77 |        14 | 2025-02-14 14:17:30 | 0x01             |
|   78 |        15 | 2025-02-14 14:17:34 | 0x01             |
|   79 |         1 | 2025-02-14 14:17:37 | 0x01             |
|   80 |        18 | 2025-02-14 14:17:48 | 0x01             |
|   81 |        11 | 2025-02-14 14:18:07 | 0x01             |
|   82 |         9 | 2025-02-14 14:18:15 | 0x01             |
|   83 |        10 | 2025-02-14 14:19:46 | 0x01             |
|   84 |        19 | 2025-02-14 14:19:50 | 0x01             |
|   85 |         2 | 2025-02-14 14:19:54 | 0x01             |
|   86 |         9 | 2025-02-14 14:20:07 | 0x01             |
|   87 |         3 | 2025-02-14 14:20:14 | 0x01             |
|   88 |         6 | 2025-02-14 14:20:54 | 0x01             |
|   89 |        15 | 2025-02-14 14:20:56 | 0x01             |
|   90 |        19 | 2025-02-14 14:20:59 | 0x01             |
|   91 |         2 | 2025-02-14 14:21:03 | 0x01             |
|   92 |        13 | 2025-02-14 14:21:13 | 0x01             |
|   93 |         5 | 2025-02-14 14:21:18 | 0x01             |
|   94 |        19 | 2025-02-14 14:21:31 | 0x01             |
|   95 |         3 | 2025-02-14 14:21:35 | 0x01             |
|   96 |         2 | 2025-02-14 14:21:50 | 0x01             |
|   97 |        10 | 2025-02-14 14:22:00 | 0x01             |
|   98 |         8 | 2025-02-14 14:22:05 | 0x01             |
|   99 |        16 | 2025-02-14 14:22:12 | 0x01             |
|  100 |         1 | 2025-02-14 14:22:16 | 0x01             |
|  101 |        15 | 2025-02-14 14:22:21 | 0x01             |
|  102 |         6 | 2025-02-14 14:22:24 | 0x01             |
|  103 |        12 | 2025-02-14 14:22:29 | 0x01             |
|  104 |        10 | 2025-02-14 14:22:42 | 0x01             |
|  105 |        14 | 2025-02-14 14:23:19 | 0x01             |
|  106 |         5 | 2025-02-14 14:23:49 | 0x01             |
|  107 |        17 | 2025-02-14 14:23:51 | 0x01             |
|  108 |         2 | 2025-02-14 14:23:55 | 0x00             |
|  109 |        11 | 2025-02-14 14:24:22 | 0x01             |
|  110 |        19 | 2025-02-14 14:24:52 | 0x01             |
|  111 |         2 | 2025-02-14 14:24:57 | 0x01             |
|  112 |         9 | 2025-02-14 14:25:04 | 0x01             |
|  113 |        17 | 2025-02-14 14:25:07 | 0x01             |
|  114 |        15 | 2025-02-14 14:25:09 | 0x01             |
|  115 |         1 | 2025-02-14 14:25:13 | 0x01             |
|  116 |        18 | 2025-02-14 14:33:23 | 0x01             |
|  117 |         6 | 2025-02-14 14:33:24 | 0x01             |
|  118 |         1 | 2025-02-14 14:33:26 | 0x01             |
|  119 |        12 | 2025-02-14 14:33:28 | 0x01             |
|  120 |         9 | 2025-02-14 14:33:31 | 0x01             |
|  121 |        11 | 2025-02-14 14:33:36 | 0x01             |
|  122 |         4 | 2025-02-14 14:35:07 | 0x01             |
|  123 |         8 | 2025-02-14 14:35:09 | 0x01             |
|  124 |         1 | 2025-02-14 14:35:11 | 0x01             |
|  125 |        16 | 2025-02-14 14:35:13 | 0x01             |
|  126 |        10 | 2025-02-14 14:35:18 | 0x01             |
|  127 |        12 | 2025-02-14 14:35:20 | 0x01             |
|  128 |         2 | 2025-02-14 15:34:44 | 0x01             |
|  129 |        11 | 2025-02-14 15:34:49 | 0x01             |
|  130 |         5 | 2025-02-14 15:34:51 | 0x01             |
|  131 |        12 | 2025-02-14 15:34:56 | 0x01             |
|  132 |        10 | 2025-02-14 15:35:02 | 0x01             |
|  133 |         1 | 2025-02-14 15:35:05 | 0x01             |
|  134 |         7 | 2025-02-14 15:43:27 | 0x01             |
|  135 |        13 | 2025-02-14 15:43:42 | 0x01             |
|  136 |         8 | 2025-02-14 15:43:45 | 0x01             |
|  137 |         1 | 2025-02-14 15:43:46 | 0x01             |
|  138 |        11 | 2025-02-14 15:43:50 | 0x01             |
|  139 |         3 | 2025-02-14 15:43:55 | 0x01             |
|  140 |        15 | 2025-02-14 15:44:00 | 0x01             |
|  141 |         2 | 2025-02-14 15:44:04 | 0x01             |
|  142 |        14 | 2025-02-14 15:44:08 | 0x01             |
|  143 |         1 | 2025-02-14 15:44:10 | 0x01             |
|  144 |        17 | 2025-02-14 15:44:13 | 0x01             |
|  145 |        13 | 2025-02-14 15:44:28 | 0x01             |
|  146 |         8 | 2025-02-14 15:44:32 | 0x01             |
|  147 |        11 | 2025-02-14 15:44:39 | 0x01             |
|  148 |        13 | 2025-02-14 15:44:44 | 0x01             |
|  149 |        12 | 2025-02-14 15:44:48 | 0x01             |
|  150 |         2 | 2025-02-14 15:44:53 | 0x01             |
|  151 |         1 | 2025-02-14 15:44:55 | 0x01             |
|  152 |        16 | 2025-02-14 15:45:00 | 0x00             |
|  153 |         3 | 2025-02-14 15:45:07 | 0x01             |
|  154 |         1 | 2025-02-14 15:45:09 | 0x01             |
|  155 |        13 | 2025-02-14 15:45:15 | 0x01             |
|  156 |        12 | 2025-02-14 15:45:18 | 0x01             |
|  157 |        10 | 2025-02-14 15:45:34 | 0x01             |
|  158 |        18 | 2025-02-14 15:47:26 | 0x01             |
|  159 |         9 | 2025-02-14 16:16:57 | 0x01             |
|  160 |         4 | 2025-02-14 16:17:03 | 0x01             |
|  161 |         8 | 2025-02-14 16:17:57 | 0x01             |
|  162 |         7 | 2025-02-14 16:18:01 | 0x01             |
|  163 |         1 | 2025-02-14 16:18:02 | 0x01             |
|  164 |         7 | 2025-02-14 16:18:06 | 0x01             |
|  165 |        15 | 2025-02-14 16:18:08 | 0x01             |
|  166 |         8 | 2025-02-14 16:18:09 | 0x01             |
|  167 |         4 | 2025-02-14 16:18:12 | 0x01             |
|  168 |        11 | 2025-02-14 16:18:16 | 0x01             |
|  169 |         1 | 2025-02-14 16:18:18 | 0x01             |
|  170 |         5 | 2025-02-14 16:18:22 | 0x01             |
|  171 |         1 | 2025-02-14 16:18:24 | 0x01             |
|  172 |         7 | 2025-02-14 16:18:26 | 0x01             |
|  173 |         4 | 2025-02-14 16:18:32 | 0x01             |
|  174 |        17 | 2025-02-14 16:18:35 | 0x01             |
|  175 |         3 | 2025-02-14 16:18:38 | 0x01             |
|  176 |         1 | 2025-02-14 16:18:42 | 0x01             |
|  177 |        18 | 2025-02-14 16:18:45 | 0x01             |
|  178 |         4 | 2025-02-14 16:18:49 | 0x01             |
|  179 |         2 | 2025-02-14 16:18:56 | 0x01             |
|  180 |         5 | 2025-02-14 16:18:58 | 0x01             |
|  181 |        13 | 2025-02-14 16:19:05 | 0x01             |
|  182 |        15 | 2025-02-14 16:19:07 | 0x01             |
|  183 |         4 | 2025-02-14 16:19:10 | 0x01             |
|  184 |        16 | 2025-02-14 16:19:14 | 0x00             |
|  185 |         1 | 2025-02-14 16:19:16 | 0x01             |
|  186 |        19 | 2025-02-14 16:19:20 | 0x01             |
|  187 |         9 | 2025-02-14 16:19:22 | 0x01             |
|  188 |         2 | 2025-02-14 16:19:30 | 0x01             |
|  189 |        13 | 2025-02-14 16:19:34 | 0x01             |
|  190 |         1 | 2025-02-14 16:19:37 | 0x01             |
|  191 |        17 | 2025-02-14 16:19:40 | 0x01             |
|  192 |         6 | 2025-02-14 16:19:42 | 0x01             |
|  193 |         9 | 2025-02-14 16:19:44 | 0x01             |
|  194 |        17 | 2025-02-14 16:19:47 | 0x01             |
|  195 |        10 | 2025-02-14 16:22:38 | 0x01             |
|  196 |        19 | 2025-02-14 16:31:19 | 0x01             |
|  197 |        11 | 2025-02-14 16:31:22 | 0x01             |
|  198 |        12 | 2025-02-14 16:31:27 | 0x01             |
|  199 |         3 | 2025-02-14 16:32:08 | 0x01             |
|  200 |        38 | 2025-02-14 18:09:20 | 0x00             |
|  201 |         4 | 2025-02-14 18:09:25 | 0x01             |
|  202 |        17 | 2025-02-14 18:09:31 | 0x01             |
|  203 |        23 | 2025-02-14 18:09:35 | 0x01             |
|  204 |        21 | 2025-02-14 18:09:39 | 0x01             |
|  205 |         6 | 2025-02-14 18:09:48 | 0x01             |
|  206 |         3 | 2025-02-14 18:09:57 | 0x01             |
|  207 |         9 | 2025-02-14 18:10:10 | 0x01             |
|  208 |        10 | 2025-02-14 18:10:19 | 0x01             |
|  209 |         2 | 2025-02-14 18:10:22 | 0x01             |
|  210 |        19 | 2025-02-14 18:10:29 | 0x01             |
|  211 |         8 | 2025-02-14 18:10:31 | 0x01             |
|  212 |         8 | 2025-02-14 18:10:34 | 0x01             |
|  213 |        13 | 2025-02-14 18:10:45 | 0x01             |
|  214 |        23 | 2025-02-14 18:10:53 | 0x01             |
|  215 |         9 | 2025-02-14 18:10:55 | 0x01             |
|  216 |        14 | 2025-02-14 18:11:00 | 0x01             |
|  217 |         1 | 2025-02-14 18:11:03 | 0x01             |
|  218 |        18 | 2025-02-14 18:11:07 | 0x01             |
|  219 |         5 | 2025-02-14 18:11:10 | 0x01             |
|  220 |        19 | 2025-02-14 18:11:14 | 0x01             |
|  221 |       408 | 2025-02-14 18:11:22 | 0x00             |
|  222 |        12 | 2025-02-14 18:11:33 | 0x01             |
|  223 |        21 | 2025-02-14 18:11:40 | 0x00             |
|  224 |        14 | 2025-02-14 18:11:45 | 0x01             |
|  225 |       231 | 2025-02-14 18:12:08 | 0x00             |
|  226 |         5 | 2025-02-14 18:12:11 | 0x01             |
|  227 |        11 | 2025-02-14 18:12:41 | 0x01             |
|  228 |       408 | 2025-02-14 18:12:49 | 0x01             |
|  229 |         3 | 2025-02-14 18:12:54 | 0x01             |
|  230 |       469 | 2025-02-14 18:14:13 | 0x00             |
|  231 |         2 | 2025-02-14 19:01:48 | 0x01             |
|  232 |         1 | 2025-02-14 19:01:51 | 0x01             |
|  233 |        23 | 2025-02-14 19:25:23 | 0x01             |
|  234 |        28 | 2025-02-14 19:25:34 | 0x00             |
|  235 |        14 | 2025-02-14 19:25:57 | 0x00             |
|  236 |         7 | 2025-02-14 19:26:02 | 0x01             |
|  237 |        12 | 2025-02-14 19:26:05 | 0x01             |
